x,y,v,kappa
8.1,-3.39,0.5,-0.0
8.139,-3.351,3.667,0.0
8.178,-3.312,1.176,6.3885
8.2,-3.267,3.055,0.9461
8.22,-3.22,1.195,-6.184
8.25,-3.178,0.887,11.2262
8.262,-3.128,0.748,-15.7636
8.3,-3.088,0.656,20.5424
8.305,-3.035,0.642,-21.4288
8.343,-2.997,0.66,20.258
8.35,-2.944,0.698,-18.1025
8.386,-2.904,0.862,11.8739
8.4,-2.855,1.266,5.5046
8.4,-2.8,3.643,-0.6653
8.4,-2.745,2.224,1.7842
8.4,-2.69,0.643,-21.377
8.439,-2.651,0.767,15.0033
8.45,-2.601,1.264,5.5239
8.45,-2.546,0.679,-19.15
8.484,-2.506,0.917,10.5029
8.5,-2.457,1.177,6.372
8.5,-2.402,3.838,-0.5952
8.5,-2.347,5.285,0.0385
8.5,-2.292,5.191,0.0968
8.5,-2.238,3.639,-0.618
8.505,-2.185,0.685,-18.8065
8.544,-2.146,0.693,18.3991
8.55,-2.093,3.004,0.9783
8.55,-2.039,4.756,-0.1733
8.55,-1.984,3.963,0.407
8.55,-1.929,1.524,-3.8023
8.561,-1.879,0.762,-15.1858
8.6,-1.84,0.642,21.3914
8.6,-1.785,2.257,-1.733
8.6,-1.73,4.277,0.0769
8.6,-1.675,3.564,0.6953
8.6,-1.62,1.075,-7.6422
8.618,-1.572,1.038,-8.196
8.65,-1.531,0.714,17.3321
8.65,-1.476,2.491,-1.4228
8.65,-1.421,4.405,0.0309
8.65,-1.366,2.963,1.0055
8.65,-1.311,0.868,-11.7191
8.674,-1.266,2.705,-1.2063
8.7,-1.222,0.819,13.1572
8.7,-1.167,2.7,-1.2108
8.7,-1.112,2.67,1.2387
8.7,-1.057,0.807,-13.5622
8.727,-1.013,2.165,1.8835
8.75,-0.968,0.883,11.3173
8.75,-0.913,3.009,-0.9754
8.75,-0.858,4.391,-0.0354
8.75,-0.803,2.465,1.4528
8.75,-0.748,0.706,-17.7331
8.783,-0.707,0.998,8.8733
8.8,-0.659,1.114,7.1188
8.8,-0.604,3.427,0.7516
8.8,-0.549,0.717,-17.1742
8.832,-0.508,1.046,8.0633
8.85,-0.46,1.079,7.5812
8.85,-0.405,3.604,0.6797
8.85,-0.35,0.727,-16.6897
8.881,-0.309,1.103,7.2533
8.9,-0.261,1.039,8.1809
8.9,-0.206,3.198,-0.8632
8.9,-0.151,2.359,1.5863
8.9,-0.097,0.689,-18.5991
8.934,-0.056,0.924,10.3432
8.95,-0.007,1.172,6.4318
8.95,0.048,3.817,-0.606
8.95,0.102,4.673,-0.0098
8.95,0.157,2.921,1.0348
8.952,0.212,0.653,-20.7217
8.99,0.25,0.733,16.4179
9.0,0.301,1.789,2.7593
9.0,0.356,4.076,-0.2367
9.0,0.411,3.648,-0.1918
9.004,0.464,0.677,-19.2509
9.043,0.503,0.701,17.9492
9.05,0.555,2.556,1.3515
9.05,0.61,4.386,0.0173
9.05,0.665,2.395,-1.5388
9.057,0.717,0.705,-17.7424
9.096,0.756,0.674,19.4233
9.1,0.809,3.652,0.2122
9.1,0.864,2.801,-1.1252
9.106,0.916,0.675,-19.3757
9.145,0.955,0.389,58.2253
9.116,0.994,0.906,-10.7468
9.1,1.042,1.157,-6.5924
9.1,1.097,3.761,0.6241
9.1,1.152,5.229,-0.0586
9.1,1.207,6.368,-0.0
9.1,1.262,7.331,-0.0
9.1,1.317,8.182,-0.0
9.1,1.372,8.952,-0.0
9.1,1.427,9.662,-0.0
9.1,1.482,9.859,-0.0
9.1,1.537,9.165,-0.0
9.1,1.592,8.414,-0.0
9.1,1.647,7.589,-0.0
9.1,1.701,6.663,-0.0
9.1,1.756,5.585,-0.0291
9.1,1.811,4.242,0.2211
9.1,1.866,2.129,-1.9471
9.108,1.918,0.714,-17.3211
9.147,1.957,0.667,19.8619
9.15,2.01,3.66,-0.3009
9.15,2.065,5.188,-0.0068
9.15,2.12,6.334,0.012
9.15,2.175,7.302,0.0
9.15,2.23,8.156,0.0
9.15,2.285,7.639,0.0
9.15,2.34,6.72,0.0
9.15,2.395,5.653,0.0
9.15,2.45,4.331,0.1419
9.15,2.505,2.358,-1.5884
9.15,2.56,0.684,18.8507
9.111,2.599,0.811,13.4183
9.061,2.61,0.901,-10.8836
9.019,2.641,1.767,-2.8286
8.98,2.68,1.814,2.6842
8.938,2.71,0.768,14.9625
8.883,2.71,3.726,-0.4962
8.828,2.71,1.03,-8.3143
8.781,2.729,1.14,-6.7906
8.739,2.76,0.732,16.4966
8.684,2.76,2.548,-1.3604
8.629,2.76,4.437,0.1144
8.574,2.76,5.735,-0.0
8.519,2.76,6.789,-0.0
8.464,2.76,7.7,-0.0
8.409,2.76,8.514,-0.0
8.355,2.76,9.257,-0.0
8.3,2.76,9.944,-0.0
8.245,2.76,10.521,-0.0
8.19,2.76,9.874,-0.0
8.135,2.76,9.181,-0.0
8.08,2.76,8.432,-0.0
8.025,2.76,7.609,-0.0
7.97,2.76,6.685,-0.0
7.915,2.76,5.612,-0.0
7.86,2.76,4.277,0.142
7.805,2.76,2.257,-1.7328
7.75,2.76,0.64,21.5331
7.711,2.721,0.726,-16.7681
7.661,2.71,0.886,11.25
7.619,2.679,1.865,2.5396
7.58,2.64,4.108,-0.3964
7.541,2.601,2.308,1.6573
7.503,2.563,0.663,-20.0913
7.449,2.559,0.682,18.9933
7.41,2.52,0.79,14.1427
7.4,2.47,0.815,-13.2999
7.368,2.428,1.09,7.4369
7.35,2.381,1.058,7.8849
7.35,2.326,3.244,-0.8387
7.35,2.271,2.341,1.6108
7.35,2.216,0.683,-18.9479
7.315,2.175,0.898,10.9387
7.3,2.127,1.203,6.1006
7.3,2.072,3.846,-0.5736
7.3,2.017,5.291,0.0561
7.3,1.962,6.418,-0.0
7.3,1.907,6.383,-0.0
7.3,1.852,5.248,-0.0593
7.3,1.797,3.787,0.6158
7.3,1.742,1.154,-6.6305
7.284,1.694,0.938,-10.042
7.25,1.653,0.683,18.9039
7.25,1.598,1.239,-5.7515
