x,y,v,kappa
8.1,-3.39,0.5,0.3193
8.35,-2.984,2.015,0.359
8.467,-2.523,2.805,0.2505
8.55,-2.049,3.424,0.0569
8.621,-1.569,3.95,-0.0279
8.7,-1.093,4.412,-0.0572
8.8,-0.625,4.826,-0.0243
8.9,-0.157,5.207,0.0
9.0,0.311,4.948,0.1088
9.1,0.779,4.545,0.2226
9.1,1.246,4.112,0.0577
9.1,1.755,3.583,0.1113
9.15,2.244,2.985,0.9909
8.999,2.661,2.448,1.4731
8.53,2.76,3.134,0.8419
8.021,2.76,3.304,0.7761
7.567,2.627,2.67,1.2382
7.35,2.237,3.271,0.7451
7.3,1.749,3.825,0.0296
7.15,1.302,4.29,-0.1191
7.05,0.834,4.715,-0.181
6.85,0.408,4.828,-0.1265
6.65,-0.019,4.42,-0.0607
6.446,-0.444,3.971,-0.125
6.2,-0.851,3.459,-0.5828
5.938,-1.252,2.852,-1.0855
5.476,-1.264,3.44,-0.6325
4.998,-1.24,3.958,-0.0924
4.51,-1.19,4.426,-0.0804
4.021,-1.14,4.644,-0.3473
3.553,-1.04,4.212,-0.4978
3.168,-0.74,4.652,-0.1172
2.774,-0.464,4.553,0.3593
2.357,-0.24,4.116,0.5211
1.869,-0.19,4.569,0.3436
1.359,-0.19,4.412,0.1652
0.871,-0.24,3.941,0.1079
0.388,-0.302,3.411,0.5297
-0.085,-0.39,2.791,1.1337
-0.3,-0.802,3.146,0.8919
-0.4,-1.269,3.503,0.6541
-0.4,-1.779,2.863,1.0774
-0.119,-2.171,2.856,1.0823
0.341,-2.29,3.458,0.3535
0.809,-2.39,3.973,-0.0372
1.256,-2.54,4.422,0.0591
1.724,-2.64,4.836,0.1162
2.192,-2.74,5.216,0.0
2.68,-2.79,5.58,-0.1114
3.127,-2.94,5.909,0.0306
3.597,-3.037,6.225,0.1064
4.074,-3.114,6.528,-0.0029
4.551,-3.191,6.818,-0.0404
5.019,-3.29,7.093,0.0496
5.491,-3.381,7.359,0.1434
5.983,-3.423,7.374,0.0691
6.485,-3.44,7.096,-0.0427
6.973,-3.49,6.814,0.0692
7.462,-3.54,6.519,0.2077
7.95,-3.49,6.519,0.2077
