x,y,v,kappa,s
-24.532,29.486,0.0,0.1411,0.0
-24.433,29.66,1.549,0.1411,0.2
-24.339,29.836,2.191,0.4895,0.4
-24.263,30.02,2.682,-0.143,0.599
-24.182,30.201,3.094,-0.8054,0.798
-24.073,30.369,3.46,0.6809,0.997
-23.987,30.549,3.791,0.1272,1.197
-23.906,30.732,4.095,0.0756,1.397
-23.827,30.916,4.378,-0.4072,1.597
-23.734,31.092,4.643,-0.3068,1.797
-23.631,31.263,4.516,0.4329,1.996
-23.542,31.442,4.556,-0.0822,2.196
-23.45,31.62,4.284,0.0188,2.396
-23.359,31.798,3.994,-0.3086,2.596
-23.258,31.97,3.682,-0.2383,2.796
-23.148,32.137,3.34,0.0553,2.996
-23.04,32.305,2.96,0.6987,3.196
-22.957,32.487,2.522,-1.388,3.396
-22.827,32.638,2.959,0.0962,3.595
-22.7,32.793,3.34,0.2829,3.795
-22.581,32.954,3.681,0.2666,3.995
-22.472,33.121,3.381,-0.0716,4.195
-22.36,33.287,3.005,-0.9777,4.395
-22.218,33.427,3.381,0.6166,4.595
-22.095,33.584,3.717,0.01,4.794
-21.972,33.74,3.744,-0.63,4.993
-21.83,33.881,4.052,0.0388,5.193
-21.689,34.023,4.15,0.0091,5.393
-21.548,34.165,3.85,-0.4803,5.593
-21.395,34.292,3.527,-0.3181,5.791
-21.235,34.41,3.17,0.8787,5.991
-21.096,34.554,2.837,-1.0973,6.191
-20.93,34.664,3.231,0.5504,6.39
-20.777,34.792,3.582,0.1257,6.589
-20.627,34.924,3.682,-0.4237,6.789
-20.467,35.043,3.34,-0.7912,6.989
-20.289,35.135,3.682,0.5388,7.189
-20.123,35.245,3.995,-0.3884,7.389
-19.948,35.343,4.284,-0.2427,7.588
-19.769,35.432,4.474,-0.0234,7.788
-19.59,35.52,4.198,0.0532,7.988
-19.411,35.609,3.901,0.1343,8.188
-19.235,35.704,3.58,-0.6887,8.388
-19.048,35.774,3.901,-0.1668,8.588
-18.858,35.837,4.197,0.0638,8.788
-18.669,35.903,3.955,0.1265,8.988
-18.482,35.973,3.639,0.0465,9.188
-18.295,36.045,3.293,-0.8141,9.388
-18.1,36.086,3.639,-0.423,9.588
-17.901,36.111,3.629,0.2989,9.787
-17.706,36.146,3.283,0.092,9.987
-17.511,36.186,2.897,-1.0517,10.185
-17.311,36.184,2.512,1.3987,10.385
-17.119,36.237,2.951,-0.9725,10.585
-16.921,36.252,3.33,-0.0504,10.783
-16.722,36.266,3.672,0.3937,10.982
-16.524,36.294,3.614,-0.2328,11.182
-16.325,36.314,3.266,-0.8279,11.382
-16.126,36.301,3.614,-0.4036,11.582
-15.928,36.271,3.416,0.2129,11.782
-15.73,36.25,3.046,0.4102,11.981
-15.531,36.246,2.625,-1.2815,12.18
-15.339,36.19,2.564,1.3427,12.38
-15.14,36.188,2.994,-0.7467,12.579
-14.945,36.157,3.367,-0.5678,12.777
-14.752,36.103,3.706,0.2794,12.977
-14.557,36.06,4.016,0.0392,13.177
-14.361,36.018,3.861,-0.5924,13.377
-14.172,35.954,3.978,0.1207,13.576
-13.981,35.895,3.664,-0.1829,13.776
-13.793,35.828,3.321,-0.2205,13.976
-13.608,35.753,2.937,0.246,14.176
-13.419,35.688,2.497,-1.4166,14.376
-13.256,35.572,2.662,1.2461,14.576
-13.071,35.5,3.077,-0.5342,14.774
-12.895,35.409,3.441,-0.4413,14.972
-12.726,35.303,3.774,0.2407,15.172
-12.552,35.204,4.079,-0.3875,15.372
-12.386,35.092,4.363,0.0366,15.572
