x,y,v,kappa,s
-24.532,29.486,0.001,0.1411,0.0
-24.433,29.66,1.549,0.1411,0.2
-24.339,29.836,2.191,0.4907,0.4
-24.263,30.02,2.682,-0.143,0.5994
-24.182,30.201,3.094,-0.8106,0.7976
-24.073,30.369,3.459,0.6841,0.9974
-23.987,30.549,3.79,0.1272,1.1974
-23.906,30.732,4.095,0.0756,1.3974
-23.827,30.916,4.378,-0.4079,1.5974
-23.734,31.092,4.362,-0.3071,1.7966
-23.631,31.263,4.175,0.4337,1.9963
-23.542,31.442,3.979,-0.0822,2.1963
-23.45,31.62,3.773,0.0188,2.3963
-23.359,31.798,3.554,-0.3089,2.5963
-23.258,31.97,3.322,-0.2385,2.7961
-23.148,32.137,3.072,0.0553,2.9961
-23.04,32.305,2.8,0.7021,3.1957
-22.957,32.487,2.498,-1.4151,3.3957
-22.827,32.638,2.938,0.0962,3.5952
-22.7,32.793,3.321,0.2831,3.7952
-22.581,32.954,3.485,0.2668,3.995
-22.472,33.121,3.247,-0.0716,4.1949
-22.36,33.287,2.991,-0.9871,4.3949
-22.218,33.427,3.368,0.6189,4.5947
-22.095,33.584,3.705,0.01,4.7936
-21.972,33.74,3.736,-0.6325,4.9926
-21.83,33.881,3.992,0.0388,5.1926
-21.689,34.023,3.786,0.0091,5.3926
-21.548,34.165,3.568,-0.4814,5.5926
-21.395,34.292,3.338,-0.3185,5.7915
-21.235,34.41,3.09,0.8855,5.9906
-21.096,34.554,2.82,-1.1106,6.1906
-20.93,34.664,3.216,0.5521,6.3901
-20.777,34.792,3.568,0.1257,6.5892
-20.627,34.924,3.562,-0.4244,6.789
-20.467,35.043,3.33,-0.7962,6.9886
-20.289,35.135,3.673,0.5403,7.1886
-20.123,35.245,3.986,-0.389,7.3885
-19.948,35.343,4.276,-0.2428,7.5882
-19.769,35.432,4.19,-0.0234,7.7882
-19.59,35.52,3.995,0.0532,7.9882
-19.411,35.609,3.789,0.1344,8.1882
-19.235,35.704,3.572,-0.692,8.3882
-19.048,35.774,3.893,-0.1668,8.5877
-18.858,35.837,3.946,0.0638,8.7877
-18.669,35.903,3.738,0.1265,8.9877
-18.482,35.973,3.517,0.0465,9.1877
-18.295,36.045,3.282,-0.8196,9.3877
-18.1,36.086,3.545,-0.4237,9.5877
-17.901,36.111,3.312,0.2992,9.7874
-17.706,36.146,3.062,0.092,9.9866
-17.511,36.186,2.791,-1.0634,10.185
-17.311,36.184,2.488,1.4266,10.385
-17.119,36.237,2.93,-0.9816,10.5846
-16.921,36.252,3.311,-0.0504,10.7831
-16.722,36.266,3.655,0.3943,10.9825
-16.524,36.294,3.492,-0.2329,11.1824
-16.325,36.314,3.254,-0.8336,11.3824
-16.126,36.301,3.4,-0.4042,11.5822
-15.928,36.271,3.156,0.213,11.782
-15.73,36.25,2.893,0.4109,11.9811
-15.531,36.246,2.603,-1.3029,12.1804
-15.339,36.19,2.541,1.3672,12.3804
-15.14,36.188,2.974,-0.7508,12.5794
-14.945,36.157,3.349,-0.5696,12.7768
-14.752,36.103,3.689,0.2796,12.9767
-14.557,36.06,3.962,0.0392,13.1767
-14.361,36.018,3.755,-0.5945,13.3767
-14.172,35.954,3.536,0.1207,13.5765
-13.981,35.895,3.302,-0.1829,13.7764
-13.793,35.828,3.05,-0.2206,13.9761
-13.608,35.753,2.776,0.2461,14.1759
-13.419,35.688,2.471,-1.4455,14.3756
-13.256,35.572,2.641,1.2655,14.5756
-13.071,35.5,3.059,-0.5357,14.7741
-12.895,35.409,3.425,-0.4422,14.972
-12.726,35.303,3.759,0.2409,15.1719
-12.552,35.204,4.066,-0.3881,15.3718
-12.386,35.092,4.351,0.0366,15.5718
