x,y,v,kappa
-24.532,29.486,1.0,0.0705
-24.433,29.66,0.456,0.1921
-24.339,29.836,0.459,0.245
-24.263,30.02,0.619,-0.1498
-24.182,30.201,0.355,-0.2689
-24.073,30.369,0.593,0.1735
-23.987,30.549,0.372,0.2519
-23.906,30.732,0.564,-0.0316
-23.827,30.916,0.378,-0.2617
-23.734,31.092,0.557,-0.1469
-23.631,31.263,0.384,0.1197
-23.542,31.442,0.555,0.0715
-23.45,31.62,0.389,-0.0881
-23.359,31.798,0.531,-0.2093
-23.258,31.97,0.4,-0.1825
-23.148,32.137,0.561,0.1425
-23.04,32.305,0.388,0.0176
-22.957,32.487,0.539,-0.5057
-22.827,32.638,0.402,-0.2257
-22.7,32.793,0.521,0.2322
-22.581,32.954,0.42,0.1862
-22.472,33.121,0.5,-0.2119
-22.36,33.287,0.531,-0.3567
-22.218,33.427,0.431,0.0654
-22.095,33.584,0.478,0.0013
-21.972,33.74,0.534,-0.3039
-21.83,33.881,0.396,-0.1344
-21.689,34.023,0.55,-0.1047
-21.548,34.165,0.413,-0.3176
-21.395,34.292,0.471,-0.0591
-21.235,34.41,0.544,0.0862
-21.096,34.554,0.401,-0.1947
-20.93,34.664,0.553,0.0317
-20.777,34.792,0.374,0.094
-20.627,34.924,0.607,-0.3779
-20.467,35.043,0.376,-0.3682
-20.289,35.135,0.655,-0.0251
-20.123,35.245,0.377,-0.1202
-19.948,35.343,0.546,-0.2243
-19.769,35.432,0.4,-0.0589
-19.59,35.52,0.536,0.0543
-19.411,35.609,0.471,-0.091
-19.235,35.704,0.429,-0.3542
-19.048,35.774,0.545,-0.2392
-18.858,35.837,0.389,0.0219
-18.669,35.903,0.596,0.0908
-18.482,35.973,0.382,-0.148
-18.295,36.045,0.59,-0.5035
-18.1,36.086,0.475,-0.3398
-17.901,36.111,0.539,0.066
-17.706,36.146,0.404,-0.1424
-17.511,36.186,0.541,-0.1538
-17.311,36.184,0.392,0.2004
-17.119,36.237,0.547,-0.1486
-16.921,36.252,0.379,-0.1688
