x,y,v,kappa
-24.532,29.486,0.5,0.0705
-24.433,29.66,1.112,0.1921
-24.339,29.836,1.14,0.245
-24.263,30.02,1.172,-0.1498
-24.182,30.201,1.16,-0.2689
-24.073,30.369,1.32,0.1735
-23.987,30.549,1.065,0.2519
-23.906,30.732,1.217,-0.0316
-23.827,30.916,1.141,-0.2617
-23.734,31.092,1.219,-0.1469
-23.631,31.263,1.129,0.1197
-23.542,31.442,1.302,0.0715
-23.45,31.62,1.095,-0.0881
-23.359,31.798,1.216,-0.2093
-23.258,31.97,1.184,-0.1825
-23.148,32.137,1.218,0.1425
-23.04,32.305,1.092,0.0176
-22.957,32.487,1.295,-0.5057
-22.827,32.638,1.15,-0.2257
-22.7,32.793,1.176,0.2322
-22.581,32.954,1.147,0.1862
-22.472,33.121,1.312,-0.2119
-22.36,33.287,1.084,-0.3567
-22.218,33.427,1.196,0.0654
-22.095,33.584,1.151,0.0013
-21.972,33.74,1.208,-0.3039
-21.83,33.881,1.09,-0.1344
-21.689,34.023,1.294,-0.1047
-21.548,34.165,1.135,-0.3176
-21.395,34.292,1.201,-0.0591
-21.235,34.41,1.138,0.0862
-21.096,34.554,1.312,-0.1947
-20.93,34.664,1.165,0.0317
-20.777,34.792,1.286,0.094
-20.627,34.924,1.218,-0.3779
-20.467,35.043,1.188,-0.3682
-20.289,35.135,1.249,-0.0251
-20.123,35.245,1.152,-0.1202
-19.948,35.343,1.262,-0.2243
-19.769,35.432,1.139,-0.0589
-19.59,35.52,1.281,0.0543
-19.411,35.609,1.295,-0.091
-19.235,35.704,1.169,-0.3542
-19.048,35.774,1.312,-0.2392
-18.858,35.837,1.172,0.0219
-18.669,35.903,1.318,0.0908
-18.482,35.973,1.069,-0.148
-18.295,36.045,1.236,-0.5035
-18.1,36.086,1.093,-0.3398
-17.901,36.111,1.313,0.066
-17.706,36.146,1.163,-0.1424
-17.511,36.186,1.306,-0.1538
-17.311,36.184,1.153,0.2004
-17.119,36.237,1.258,-0.1486
-16.921,36.252,1.199,-0.1688
-16.722,36.266,1.308,0.126
-16.524,36.294,1.285,-0.2239
-16.325,36.314,1.284,-0.5758
-16.126,36.301,1.179,-0.3551
-15.928,36.271,1.311,0.1074
-15.73,36.25,1.164,-0.0625
-15.531,36.246,1.32,-0.2071
-15.339,36.19,1.146,0.1691
-15.14,36.188,1.211,-0.1778
-14.945,36.157,1.102,-0.4002
-14.752,36.103,1.319,0.0099
-14.557,36.06,1.16,-0.0584
-14.361,36.018,1.211,-0.2572
-14.172,35.954,1.183,-0.1334
-13.981,35.895,1.343,-0.1164
-13.793,35.828,1.199,-0.0945
-13.608,35.753,1.329,-0.2844
-13.419,35.688,1.175,-0.3446
-13.256,35.572,1.183,0.1368
-13.071,35.5,1.288,-0.0644
-12.895,35.409,1.171,-0.2928
-12.726,35.303,1.304,-0.0857
-12.552,35.204,1.22,-0.1246
-12.386,35.092,1.305,-0.1068
-12.22,34.982,1.289,-0.1427
-12.056,34.867,1.134,-0.3271
-11.901,34.741,1.275,-0.2885
-11.757,34.602,1.15,0.0582
-11.612,34.465,1.2,0.1778
-11.453,34.344,1.2,-0.1398
-11.304,34.211,1.201,-0.2681
-11.164,34.069,1.147,-0.3002
-11.025,33.925,1.32,-0.2532
-10.91,33.761,1.083,0.0885
-10.776,33.613,1.207,-0.0045
-10.645,33.463,1.162,-0.3096
-10.528,33.301,1.201,-0.2199
-10.419,33.133,1.182,-0.0143
-10.308,32.967,1.236,-0.0199
