x,y,v,kappa,s
0.627,-0.127,0.0,0.01,0.0
0.527,-0.127,1.095,0.01,0.1
0.427,-0.127,1.549,-0.01,0.2
0.327,-0.127,1.897,0.01,0.3
0.227,-0.127,2.191,-0.01,0.4
0.127,-0.127,2.449,0.0,0.5
0.027,-0.127,2.683,0.0,0.6
-0.073,-0.127,2.898,0.0,0.7
-0.173,-0.127,3.098,0.0,0.8
-0.273,-0.127,3.286,0.0,0.9
-0.373,-0.127,3.464,-0.01,1.0
-0.473,-0.127,3.633,0.01,1.1
-0.573,-0.127,3.795,-0.01,1.2
-0.673,-0.127,3.95,0.01,1.3
-0.773,-0.127,4.099,-0.01,1.4
-0.873,-0.127,4.243,0.0,1.5
-0.973,-0.127,4.382,0.01,1.6
-1.073,-0.127,4.517,-0.01,1.7
-1.173,-0.127,4.648,0.0,1.8
-1.273,-0.127,4.775,-0.0,1.9
-1.373,-0.127,4.899,0.0,2.0
-1.473,-0.126,5.02,-0.0,2.1
-1.573,-0.126,5.138,-0.0,2.2
-1.673,-0.126,5.254,0.0,2.3
-1.773,-0.126,5.367,-0.0,2.4
-1.873,-0.126,5.477,0.0,2.5
-1.973,-0.126,5.586,-0.0,2.6
-2.073,-0.126,5.692,-0.0,2.7
-2.173,-0.126,5.797,-0.01,2.8
-2.273,-0.126,5.899,0.01,2.9
-2.373,-0.126,6.0,-0.0,3.0
-2.473,-0.125,6.099,-0.0,3.1
-2.573,-0.125,6.197,-0.01,3.2
-2.673,-0.125,6.293,0.01,3.3
-2.773,-0.125,6.387,-0.0,3.4
-2.873,-0.125,6.481,-0.0,3.5
-2.973,-0.125,6.573,-0.01,3.6
-3.073,-0.125,6.663,0.01,3.7
-3.173,-0.124,6.753,0.0,3.8
-3.273,-0.124,6.841,0.0,3.9
-3.373,-0.124,6.928,0.0,4.0
-3.473,-0.124,7.014,-0.01,4.1
-3.573,-0.124,7.099,0.01,4.2
-3.673,-0.124,7.183,0.0,4.3
-3.773,-0.124,7.266,0.0,4.4
-3.873,-0.124,7.348,-0.0,4.5
-3.973,-0.124,7.43,0.0,4.6
-4.073,-0.124,7.51,-0.0,4.7
-4.173,-0.123,7.589,0.0,4.8
-4.273,-0.123,7.668,0.01,4.9
-4.373,-0.123,7.746,-0.01,5.0
-4.473,-0.123,7.823,-0.0,5.1
-4.573,-0.123,7.899,0.01,5.2
-4.673,-0.123,7.975,-0.01,5.3
-4.773,-0.123,8.05,-0.0,5.4
-4.873,-0.123,8.124,0.01,5.5
-4.973,-0.123,8.198,0.0,5.6
-5.073,-0.123,8.27,-0.01,5.7
-5.173,-0.123,8.343,0.01,5.8
-5.273,-0.123,8.414,0.0,5.9
-5.373,-0.123,8.485,0.0,6.0
-5.473,-0.123,8.556,0.0,6.1
-5.573,-0.123,8.626,0.0,6.2
-5.673,-0.123,8.695,0.01,6.3
-5.773,-0.123,8.764,-0.01,6.4
-5.873,-0.123,8.832,0.0,6.5
-5.973,-0.123,8.899,0.01,6.6
-6.073,-0.123,8.967,-0.0,6.7
-6.173,-0.123,9.033,0.0,6.8
-6.273,-0.123,9.099,-0.01,6.9
-6.373,-0.123,9.165,0.02,7.0
-6.473,-0.123,9.23,-0.01,7.1
-6.573,-0.124,9.295,0.0,7.2
-6.673,-0.124,9.294,0.01,7.3
-6.773,-0.124,9.229,-0.01,7.4
-6.873,-0.124,9.164,0.01,7.5
-6.973,-0.124,9.098,-0.0,7.6
-7.073,-0.124,9.032,0.0,7.7
-7.173,-0.124,8.966,-0.0,7.8
-7.273,-0.125,8.898,-0.0,7.9
-7.373,-0.125,8.831,0.01,8.0
-7.473,-0.125,8.763,-0.01,8.1
-7.573,-0.125,8.694,0.01,8.2
-7.673,-0.126,8.625,-0.0,8.3
-7.773,-0.126,8.555,0.0,8.4
-7.873,-0.126,8.484,-0.0,8.5
-7.973,-0.127,8.413,0.0,8.6
-8.073,-0.127,8.342,-0.0,8.7
-8.173,-0.127,8.269,-0.01,8.8
-8.273,-0.127,8.196,0.01,8.9
-8.373,-0.128,8.123,0.0,9.0
-8.473,-0.128,8.049,-0.01,9.1
-8.573,-0.128,7.974,0.01,9.2
-8.673,-0.128,7.898,-0.01,9.3
-8.773,-0.129,7.822,-0.01,9.4
-8.873,-0.129,7.745,0.01,9.5
