x,y,left_dist,right_dist,Tx,Ty,Nx,Ny,kappa,dkappa,ddkappa,s
0.6268,-0.1271,0.9,0.85,-1.0,-0.000639,0.000639,-1.0,-0.0005617,-0.00272166,0.00086795,0.0
0.5268,-0.1271,0.9,0.85,-1.0,-0.000583,0.000583,-1.0,-0.00083386,-0.00263486,0.00810566,0.1
0.4268,-0.1272,0.9,0.85,-1.0,-0.000472,0.000472,-1.0,-0.00108867,-0.00110052,0.01490862,0.2
0.3268,-0.1272,0.9,0.85,-1.0,-0.000365,0.000365,-1.0,-0.00105397,0.00034686,0.00723538,0.3
0.2268,-0.1273,0.9,0.85,-1.0,-0.000261,0.000261,-1.0,-0.0010193,0.00034655,-3.07e-06,0.4
0.1268,-0.1273,0.9,0.85,-1.0,-0.000161,0.000161,-1.0,-0.00098466,0.00034625,-3e-06,0.5
0.0268,-0.1273,0.9,0.85,-1.0,-6.4e-05,6.4e-05,-1.0,-0.00095005,0.00034595,-2.081e-05,0.6
-0.0732,-0.1273,0.9,0.85,-1.0,2.9e-05,-2.9e-05,-1.0,-0.00091547,0.00034209,-7.142e-05,0.7
-0.1732,-0.1273,0.9,0.85,-1.0,0.000119,-0.000119,-1.0,-0.00088163,0.00033167,-4.598e-05,0.8
-0.2732,-0.1273,0.9,0.85,-1.0,0.000205,-0.000205,-1.0,-0.00084913,0.00033289,0.00011519,0.9
-0.3732,-0.1273,0.9,0.85,-1.0,0.000289,-0.000289,-1.0,-0.00081505,0.00035471,0.00015542,1.0
-0.4732,-0.1272,0.9,0.85,-1.0,0.000368,-0.000368,-1.0,-0.00077819,0.00036397,-1.476e-05,1.1
-0.5732,-0.1272,0.9,0.85,-1.0,0.000444,-0.000444,-1.0,-0.00074226,0.00035175,-9.971e-05,1.2
-0.6732,-0.1271,0.9,0.85,-1.0,0.000517,-0.000517,-1.0,-0.00070784,0.00034403,-3.98e-05,1.3
-0.7732,-0.1271,0.9,0.85,-1.0,0.000586,-0.000586,-1.0,-0.00067345,0.00034379,-2.36e-06,1.4
-0.8732,-0.127,0.9,0.85,-1.0,0.000651,-0.000651,-1.0,-0.00063908,0.00034356,-2.29e-06,1.5
-0.9732,-0.1269,0.9,0.85,-1.0,0.000714,-0.000714,-1.0,-0.00060474,0.00034333,-1.32e-05,1.6
-1.0732,-0.1269,0.9,0.85,-1.0,0.000772,-0.000772,-1.0,-0.00057042,0.00034092,-4.029e-05,1.7
-1.1732,-0.1268,0.9,0.85,-1.0,0.000828,-0.000828,-1.0,-0.00053656,0.00033528,-1.918e-05,1.8
-1.2732,-0.1267,0.9,0.85,-1.0,0.00088,-0.00088,-1.0,-0.00050336,0.00033709,7.103e-05,1.9
-1.3732,-0.1266,0.9,0.85,-1.0,0.000928,-0.000928,-1.0,-0.00046914,0.00034948,8.239e-05,2.0
-1.4732,-0.1265,0.9,0.85,-1.0,0.000974,-0.000974,-1.0,-0.00043347,0.00035356,-1.639e-05,2.1
-1.5732,-0.1264,0.9,0.85,-0.999999,0.001015,-0.001015,-0.999999,-0.00039843,0.0003462,-5.822e-05,2.2
-1.6732,-0.1263,0.9,0.85,-0.999999,0.001053,-0.001053,-0.999999,-0.00036423,0.00034192,-2.227e-05,2.3
-1.7732,-0.1262,0.9,0.85,-0.999999,0.001088,-0.001088,-0.999999,-0.00033004,0.00034175,-1.66e-06,2.4
-1.8732,-0.1261,0.9,0.85,-0.999999,0.001119,-0.001119,-0.999999,-0.00029588,0.00034159,-1.59e-06,2.5
-1.9732,-0.126,0.9,0.85,-0.999999,0.001147,-0.001147,-0.999999,-0.00026172,0.00034143,-2.6e-06,2.6
-2.0732,-0.1259,0.9,0.85,-0.999999,0.001172,-0.001172,-0.999999,-0.00022759,0.00034107,-8.04e-06,2.7
-2.1732,-0.1258,0.9,0.85,-0.999999,0.001193,-0.001193,-0.999999,-0.00019351,0.00033982,-5.02e-06,2.8
-2.2732,-0.1256,0.9,0.85,-0.999999,0.00121,-0.00121,-0.999999,-0.00015962,0.00034007,1.993e-05,2.9
-2.3732,-0.1255,0.9,0.85,-0.999999,0.001225,-0.001225,-0.999999,-0.0001255,0.00034381,2.589e-05,3.0
-2.4732,-0.1254,0.9,0.85,-0.999999,0.001235,-0.001235,-0.999999,-9.086e-05,0.00034524,-7.3e-06,3.1
-2.5732,-0.1253,0.9,0.85,-0.999999,0.001243,-0.001243,-0.999999,-5.645e-05,0.00034235,-2.363e-05,3.2
-2.6732,-0.1251,0.9,0.85,-0.999999,0.001247,-0.001247,-0.999999,-2.239e-05,0.00034052,-9.66e-06,3.3
-2.7732,-0.125,0.9,0.85,-0.999999,0.001247,-0.001247,-0.999999,1.165e-05,0.00034042,-9.6e-07,3.4
-2.8732,-0.1249,0.9,0.85,-0.999999,0.001244,-0.001244,-0.999999,4.569e-05,0.00034032,-9e-07,3.5
-2.9732,-0.1248,0.9,0.85,-0.999999,0.001238,-0.001238,-0.999999,7.972e-05,0.00034024,-8.3e-07,3.6
-3.0732,-0.1246,0.9,0.85,-0.999999,0.001228,-0.001228,-0.999999,0.00011374,0.00034016,1.016e-05,3.7
-3.1732,-0.1245,0.9,0.85,-0.999999,0.001215,-0.001215,-0.999999,0.00014775,0.00034227,2.92e-05,3.8
-3.2732,-0.1244,0.9,0.85,-0.999999,0.001199,-0.001199,-0.999999,0.00018219,0.000346,8.62e-06,3.9
-3.3732,-0.1243,0.9,0.85,-0.999999,0.001179,-0.001179,-0.999999,0.00021695,0.00034399,-4.007e-05,4.0
-3.4732,-0.1242,0.9,0.85,-0.999999,0.001155,-0.001155,-0.999999,0.00025099,0.00033798,-3.546e-05,4.1
-3.5732,-0.124,0.9,0.85,-0.999999,0.001129,-0.001129,-0.999999,0.00028455,0.0003369,5.2e-06,4.2
-3.6732,-0.1239,0.9,0.85,-0.999999,0.001099,-0.001099,-0.999999,0.00031837,0.00033903,1.442e-05,4.3
-3.7732,-0.1238,0.9,0.85,-0.999999,0.001065,-0.001065,-0.999999,0.00035235,0.00033979,3.69e-06,4.4
-3.8732,-0.1237,0.9,0.85,-0.999999,0.001028,-0.001028,-0.999999,0.00038633,0.00033976,-2.1e-07,4.5
-3.9732,-0.1236,0.9,0.85,-1.0,0.000988,-0.000988,-1.0,0.0004203,0.00033975,-1.4e-07,4.6
-4.0732,-0.1235,0.9,0.85,-1.0,0.000944,-0.000944,-1.0,0.00045428,0.00033974,5.07e-06,4.7
