x,y,v,kappa
0.627,-0.127,0.5,0.01
0.527,-0.127,7.155,0.0
0.427,-0.127,10.107,-0.01
0.327,-0.127,12.373,0.015
0.227,-0.127,14.285,-0.0137
0.127,-0.127,15.0,0.0014
0.027,-0.127,15.0,-0.0001
-0.073,-0.127,15.0,-0.0
-0.173,-0.127,15.0,-0.0001
-0.273,-0.127,15.0,0.0014
-0.373,-0.127,15.0,-0.0137
-0.473,-0.127,15.0,0.015
-0.573,-0.127,15.0,-0.0151
-0.673,-0.127,15.0,0.015
-0.773,-0.127,15.0,-0.0136
-0.873,-0.127,15.0,-0.0
-0.973,-0.127,15.0,0.0135
-1.073,-0.127,15.0,-0.0136
-1.173,-0.127,15.0,0.0014
-1.273,-0.127,15.0,-0.0001
-1.373,-0.127,15.0,-0.0
-1.473,-0.127,15.0,0.0
-1.573,-0.126,15.0,-0.0
-1.673,-0.126,15.0,0.0
-1.773,-0.126,15.0,-0.0
-1.873,-0.126,15.0,0.0
-1.973,-0.126,15.0,-0.0001
-2.073,-0.126,15.0,0.0014
-2.173,-0.126,15.0,-0.0136
-2.273,-0.126,15.0,0.0135
-2.373,-0.126,15.0,-0.0015
-2.473,-0.125,15.0,0.0015
-2.573,-0.125,15.0,-0.0136
-2.673,-0.125,15.0,0.0135
-2.773,-0.125,15.0,-0.0015
-2.873,-0.125,15.0,0.0015
-2.973,-0.125,15.0,-0.0136
-3.073,-0.125,15.0,0.0135
-3.173,-0.125,15.0,-0.0013
-3.273,-0.124,15.0,-0.0
-3.373,-0.124,15.0,0.0014
-3.473,-0.124,15.0,-0.0136
-3.573,-0.124,15.0,0.0135
-3.673,-0.124,15.0,-0.0013
-3.773,-0.124,15.0,0.0001
-3.873,-0.124,15.0,0.0
-3.973,-0.124,15.0,-0.0
-4.073,-0.124,15.0,0.0001
-4.173,-0.123,15.0,-0.0014
-4.273,-0.123,15.0,0.0135
-4.373,-0.123,15.0,-0.0134
-4.473,-0.123,15.0,-0.0001
-4.573,-0.123,15.0,0.0134
-4.673,-0.123,15.0,-0.0134
-4.773,-0.123,15.0,0.0
-4.873,-0.123,15.0,0.0121
-4.973,-0.123,15.0,0.0002
-5.073,-0.123,15.0,-0.0134
-5.173,-0.123,15.0,0.0135
-5.273,-0.123,15.0,-0.0013
-5.373,-0.123,15.0,0.0001
-5.473,-0.123,15.0,0.0001
-5.573,-0.123,15.0,-0.0014
-5.673,-0.123,15.0,0.0135
-5.773,-0.123,15.0,-0.0133
-5.873,-0.123,15.0,0.0
-5.973,-0.123,15.0,0.0121
-6.073,-0.123,15.0,-0.0013
-6.173,-0.123,15.0,0.0016
-6.273,-0.123,15.0,-0.0149
-6.373,-0.123,15.0,0.027
-6.473,-0.123,15.0,-0.0146
-6.573,-0.123,15.0,0.0
-6.673,-0.124,15.0,0.0135
-6.773,-0.124,15.0,-0.0147
-6.873,-0.124,15.0,0.0135
-6.973,-0.124,15.0,-0.0013
-7.072,-0.124,15.0,0.0001
-7.172,-0.124,15.0,0.0001
-7.272,-0.125,15.0,-0.0014
-7.372,-0.125,15.0,0.0136
-7.472,-0.125,15.0,-0.0147
-7.572,-0.125,15.0,0.0135
-7.672,-0.126,15.0,-0.0013
-7.772,-0.126,15.0,0.0001
-7.872,-0.126,15.0,0.0
-7.972,-0.127,15.0,-0.0001
-8.072,-0.127,15.0,0.0014
-8.172,-0.127,15.0,-0.0135
-8.272,-0.127,15.0,0.0133
-8.372,-0.128,15.0,0.0001
-8.472,-0.128,15.0,-0.0135
-8.572,-0.128,15.0,0.0145
-8.672,-0.128,15.0,-0.0121
-8.772,-0.129,15.0,-0.0123
-8.872,-0.129,15.0,0.0145
-8.972,-0.129,15.0,-0.0135
-9.072,-0.129,15.0,0.0011
-9.172,-0.129,15.0,0.0012
-9.272,-0.129,15.0,-0.0123
-9.372,-0.129,15.0,0.0024
-9.472,-0.129,15.0,-0.0124
-9.572,-0.129,15.0,0.0024
-9.672,-0.129,15.0,-0.0124
-9.772,-0.129,15.0,0.0023
-9.872,-0.129,15.0,-0.011
-9.972,-0.128,15.0,-0.0112
-10.072,-0.128,15.0,0.0023
-10.172,-0.128,15.0,-0.0124
-10.272,-0.127,15.0,0.0023
-10.372,-0.127,15.0,-0.0111
-10.472,-0.126,15.0,-0.0099
-10.572,-0.125,15.0,-0.0099
-10.672,-0.125,15.0,-0.0114
-10.772,-0.124,15.0,0.0036
-10.872,-0.123,15.0,-0.0246
-10.972,-0.122,15.0,0.0034
-11.072,-0.121,15.0,-0.0115
-11.172,-0.119,15.0,-0.0084
-11.272,-0.118,15.0,-0.0234
-11.372,-0.117,15.0,0.0023
-11.472,-0.115,15.0,-0.001
-11.572,-0.114,15.0,0.0078
-11.672,-0.112,13.898,0.0407
-11.772,-0.111,11.925,0.0621
-11.872,-0.111,12.061,0.0563
-11.972,-0.111,9.722,0.0934
-12.072,-0.112,10.121,0.0862
-12.172,-0.114,8.457,0.1234
-12.272,-0.117,8.641,0.1183
-12.372,-0.122,8.134,0.1334
-12.472,-0.127,9.191,0.1045
-12.571,-0.134,11.637,0.0381
-12.671,-0.141,12.693,-0.0062
-12.771,-0.148,10.495,-0.0802
-12.871,-0.154,7.706,-0.1487
-12.97,-0.159,6.224,-0.2279
-13.07,-0.161,5.226,-0.3233
-13.17,-0.161,4.272,-0.4838
-13.27,-0.155,3.535,-0.7066
-13.369,-0.142,2.97,-1.001
-13.467,-0.119,2.349,-1.6005
-13.559,-0.081,1.876,-2.5079
-13.639,-0.021,1.62,-3.3626
