x,y,v,kappa
0.775,-0.125,0.5,0.0
0.825,-0.125,5.106,0.0
0.875,-0.125,7.204,0.0
0.925,-0.125,8.816,0.0
0.976,-0.125,10.176,0.0
1.026,-0.125,11.375,0.0
1.076,-0.125,12.458,0.0
1.126,-0.125,13.455,0.0
1.176,-0.125,14.382,0.0
1.226,-0.125,15.0,0.0
1.277,-0.125,15.0,0.0
1.327,-0.125,15.0,0.0
1.377,-0.125,15.0,0.0
1.427,-0.125,15.0,0.0
1.477,-0.125,15.0,0.0
1.527,-0.125,15.0,0.0
1.578,-0.125,15.0,0.0
1.628,-0.125,15.0,0.0
1.678,-0.125,15.0,0.0
1.728,-0.125,15.0,0.0
1.778,-0.125,15.0,0.0
1.828,-0.125,15.0,0.0
1.879,-0.125,15.0,0.0
1.929,-0.125,15.0,0.0
1.979,-0.125,15.0,0.0
2.029,-0.125,15.0,0.0
2.079,-0.125,15.0,0.0
2.129,-0.125,15.0,0.0
2.18,-0.125,15.0,0.0
2.23,-0.125,15.0,0.0
2.28,-0.125,15.0,0.0
2.33,-0.125,15.0,0.0
2.38,-0.125,15.0,0.0
2.43,-0.125,15.0,0.0
2.48,-0.125,15.0,0.0
2.531,-0.125,15.0,0.0
2.581,-0.125,15.0,0.0
2.631,-0.125,15.0,0.0
2.681,-0.125,15.0,0.0
2.731,-0.125,15.0,0.0
2.781,-0.125,15.0,0.0
2.832,-0.125,15.0,0.0
2.882,-0.125,15.0,0.0
2.932,-0.125,15.0,0.0
2.982,-0.125,15.0,0.0
3.032,-0.125,15.0,0.0
3.082,-0.125,15.0,0.0
3.133,-0.125,15.0,0.0
3.183,-0.125,15.0,0.0
3.233,-0.125,15.0,0.0
3.283,-0.125,15.0,0.0
3.333,-0.125,15.0,0.0
3.383,-0.125,15.0,0.0
3.434,-0.125,15.0,0.0
3.484,-0.125,15.0,0.0
3.534,-0.125,15.0,0.0
3.584,-0.125,15.0,0.0
3.634,-0.125,15.0,0.0
3.684,-0.125,15.0,0.0
3.735,-0.125,15.0,0.0
3.785,-0.125,15.0,0.0
3.835,-0.125,15.0,0.0
3.885,-0.125,15.0,0.0
3.935,-0.125,15.0,0.0
3.985,-0.125,15.0,0.0
4.035,-0.125,15.0,0.0
4.086,-0.125,15.0,0.0
4.136,-0.125,15.0,0.0
4.186,-0.125,15.0,0.0
4.236,-0.125,15.0,0.0
4.286,-0.125,15.0,0.0
4.336,-0.125,15.0,0.0
4.387,-0.125,15.0,0.0
4.437,-0.125,15.0,0.0
4.487,-0.125,15.0,0.0
4.537,-0.125,15.0,0.0
4.587,-0.125,15.0,0.0
4.637,-0.125,15.0,0.0
4.688,-0.125,15.0,0.0
4.738,-0.125,15.0,0.0
4.788,-0.125,15.0,0.0
4.838,-0.125,15.0,0.0
4.888,-0.125,15.0,0.0
4.938,-0.125,15.0,0.0
4.989,-0.125,15.0,0.0
5.039,-0.125,15.0,0.0
5.089,-0.125,15.0,0.0
5.139,-0.125,15.0,0.0
5.189,-0.125,15.0,0.0
5.239,-0.125,15.0,0.0
5.29,-0.125,15.0,0.0
5.34,-0.125,15.0,0.0
5.39,-0.125,15.0,0.0
5.44,-0.125,15.0,0.0
5.49,-0.125,15.0,0.0
5.54,-0.125,15.0,0.0
5.59,-0.125,15.0,0.0
5.641,-0.125,15.0,0.0
5.691,-0.125,15.0,0.0
5.741,-0.125,15.0,0.0
5.791,-0.125,15.0,0.0
5.841,-0.125,15.0,0.0
5.891,-0.125,15.0,0.0
5.942,-0.125,15.0,0.0
5.992,-0.125,15.0,0.0
6.042,-0.125,15.0,0.0
6.092,-0.125,15.0,0.0
6.142,-0.125,15.0,0.0
6.192,-0.125,15.0,0.0
6.243,-0.125,15.0,0.0
6.293,-0.125,15.0,0.0
6.343,-0.125,15.0,0.0
6.393,-0.125,15.0,0.0
6.443,-0.125,15.0,0.0
6.493,-0.125,15.0,0.0
6.544,-0.125,15.0,0.0
6.594,-0.125,15.0,0.0
6.644,-0.125,15.0,0.0
6.694,-0.125,15.0,0.0
6.744,-0.125,15.0,0.0
6.794,-0.125,15.0,0.0
6.845,-0.125,15.0,0.0
6.895,-0.125,15.0,0.0
6.945,-0.125,15.0,0.0
6.995,-0.125,15.0,0.0
7.045,-0.125,15.0,0.0
7.095,-0.125,15.0,0.0
7.146,-0.125,15.0,0.0
7.196,-0.125,15.0,0.0
7.246,-0.125,15.0,0.0
7.296,-0.125,15.0,0.0
7.346,-0.125,15.0,0.0
7.396,-0.125,15.0,0.0
7.446,-0.125,15.0,0.0
7.497,-0.125,15.0,0.0
7.547,-0.125,15.0,0.0
7.597,-0.125,15.0,0.0
7.647,-0.125,15.0,0.0
7.697,-0.125,15.0,0.0
7.747,-0.125,15.0,0.0
7.798,-0.125,15.0,0.0
7.848,-0.125,15.0,0.0
7.898,-0.125,15.0,0.0
7.948,-0.125,15.0,0.0
7.998,-0.125,15.0,0.0
8.048,-0.125,15.0,0.0
8.099,-0.125,15.0,0.0
8.149,-0.125,15.0,0.0
8.199,-0.125,15.0,0.0
8.249,-0.125,15.0,0.0
8.299,-0.125,15.0,0.0
8.349,-0.125,15.0,0.0
8.4,-0.125,15.0,0.0
8.45,-0.125,15.0,0.0
8.5,-0.125,15.0,0.0
8.55,-0.125,15.0,0.0
8.6,-0.125,15.0,0.0
8.65,-0.125,15.0,0.0
8.701,-0.125,15.0,0.0
8.751,-0.125,15.0,0.0
8.801,-0.125,15.0,0.0
8.851,-0.125,15.0,0.0
8.901,-0.125,15.0,0.0
8.951,-0.125,15.0,0.0
9.001,-0.125,15.0,0.0
9.052,-0.125,15.0,0.0
9.102,-0.125,15.0,0.0
9.152,-0.125,15.0,0.0
9.202,-0.125,14.692,0.0
9.252,-0.125,13.785,0.0
9.302,-0.125,12.814,0.0
9.353,-0.125,11.764,0.0
9.403,-0.125,10.609,0.0
9.453,-0.125,9.313,0.0
9.503,-0.125,7.804,0.0
9.553,-0.125,5.923,0.0897
9.603,-0.125,3.042,-0.9543
9.654,-0.125,0.895,11.0119
9.695,-0.105,0.971,9.3654
9.725,-0.067,0.713,17.3896
9.725,-0.017,2.464,-1.4541
9.725,0.034,5.648,0.1311
9.725,0.084,7.598,-0.0
9.725,0.134,9.141,-0.0
9.725,0.184,10.458,-0.0
9.725,0.234,11.628,-0.0
9.725,0.284,12.69,-0.0
9.725,0.334,13.669,-0.0
9.725,0.385,14.583,-0.0
9.725,0.435,15.0,-0.0
9.725,0.485,15.0,-0.0
9.725,0.535,15.0,-0.0
9.725,0.585,15.0,-0.0
9.725,0.635,15.0,-0.0
9.725,0.686,15.0,-0.0
9.725,0.736,15.0,-0.0
9.725,0.786,14.416,-0.0
9.725,0.836,13.49,-0.0
9.725,0.886,12.496,-0.0
9.725,0.936,11.416,-0.0
9.725,0.987,10.223,-0.0
9.725,1.037,8.87,-0.0
9.725,1.087,7.27,0.0387
9.725,1.137,5.199,-0.3266
9.725,1.187,1.69,3.0928
9.716,1.234,0.707,17.6439
9.681,1.269,0.671,-19.6223
9.675,1.317,2.617,-1.2889
9.675,1.367,5.744,0.1622
9.675,1.417,7.669,-0.0255
9.675,1.467,9.2,0.0
9.675,1.518,10.51,0.0
9.675,1.568,11.674,0.0
9.675,1.618,12.733,0.0
9.675,1.668,13.709,0.0
9.675,1.718,14.621,0.0
9.675,1.768,15.0,0.0
9.675,1.819,15.0,0.0
9.675,1.869,15.0,0.0
9.675,1.919,15.0,0.0
9.675,1.969,15.0,0.0
9.675,2.019,15.0,0.0
9.675,2.069,15.0,0.0
9.675,2.12,15.0,0.0
9.675,2.17,15.0,0.0
9.675,2.22,15.0,0.0
9.675,2.27,15.0,0.0
9.675,2.32,15.0,0.0
9.675,2.37,15.0,0.0
9.675,2.421,15.0,0.0
9.675,2.471,15.0,0.0
9.675,2.521,15.0,0.0
9.675,2.571,15.0,0.0
9.675,2.621,15.0,0.0
9.675,2.671,15.0,0.0
9.675,2.722,15.0,0.0
9.675,2.772,15.0,0.0
9.675,2.822,15.0,0.0
9.675,2.872,15.0,0.0
9.675,2.922,15.0,0.0
9.675,2.972,15.0,0.0
9.675,3.022,15.0,0.0
9.675,3.073,15.0,0.0
9.675,3.123,15.0,0.0
9.675,3.173,15.0,0.0
9.675,3.223,15.0,0.0
9.675,3.273,15.0,0.0
9.675,3.323,15.0,0.0
9.675,3.374,15.0,0.0
9.675,3.424,15.0,0.0
9.675,3.474,15.0,0.0
9.675,3.524,15.0,0.0
9.675,3.574,15.0,0.0
9.675,3.624,15.0,0.0
