x,y,v,kappa
0.627,-0.127,0.0,0.005
0.527,-0.127,0.297,0.0025
0.427,-0.127,0.345,-0.0
0.327,-0.127,0.164,-0.0
0.227,-0.127,0.324,-0.0025
0.127,-0.127,0.155,-0.0025
0.027,-0.127,0.361,-0.0
-0.073,-0.127,0.161,-0.0
-0.173,-0.127,0.31,-0.0
-0.273,-0.127,0.185,-0.0025
-0.373,-0.127,0.298,-0.0025
-0.473,-0.127,0.21,-0.0
-0.573,-0.127,0.276,-0.0
-0.673,-0.127,0.322,0.0
-0.773,-0.127,0.188,-0.0025
-0.873,-0.127,0.299,-0.0
-0.973,-0.127,0.208,0.0025
-1.073,-0.127,0.281,-0.0025
-1.173,-0.127,0.307,-0.0025
-1.273,-0.127,0.167,-0.0
-1.373,-0.127,0.362,0.0
-1.473,-0.126,0.182,-0.0
-1.573,-0.126,0.297,-0.0
-1.673,-0.126,0.296,-0.0
-1.773,-0.126,0.298,-0.0
-1.873,-0.126,0.186,0.0
-1.973,-0.126,0.354,-0.0
-2.073,-0.126,0.188,-0.0025
-2.173,-0.126,0.298,-0.0025
-2.273,-0.126,0.304,0.0025
-2.373,-0.126,0.295,0.0025
-2.473,-0.125,0.205,-0.0025
-2.573,-0.125,0.291,-0.0025
-2.673,-0.125,0.181,0.0025
-2.773,-0.125,0.33,0.0025
-2.873,-0.125,0.178,-0.0025
-2.973,-0.125,0.292,-0.0025
-3.073,-0.125,0.191,0.0025
-3.173,-0.124,0.296,0.0025
-3.273,-0.124,0.206,0.0
-3.373,-0.124,0.306,-0.0025
-3.473,-0.124,0.339,-0.0025
-3.573,-0.124,0.204,0.0025
-3.673,-0.124,0.285,0.0025
-3.773,-0.124,0.31,0.0
-3.873,-0.124,0.19,-0.0
-3.973,-0.124,0.299,-0.0
-4.073,-0.124,0.184,0.0
-4.173,-0.123,0.308,0.0025
-4.273,-0.123,0.179,0.0025
-4.373,-0.123,0.307,-0.0025
-4.473,-0.123,0.184,-0.0
-4.573,-0.123,0.299,0.0025
-4.673,-0.123,0.186,-0.0025
-4.773,-0.123,0.303,-0.0
-4.873,-0.123,0.18,0.005
-4.973,-0.123,0.317,0.0
-5.073,-0.123,0.181,-0.0025
-5.173,-0.123,0.303,0.0025
-5.273,-0.123,0.207,0.0025
-5.373,-0.123,0.248,-0.0
-5.473,-0.123,0.254,-0.0
-5.573,-0.123,0.255,0.0025
-5.673,-0.123,0.291,0.0025
-5.773,-0.123,0.225,-0.0025
-5.873,-0.123,0.307,0.0
-5.973,-0.123,0.33,0.005
-6.073,-0.123,0.173,0.0025
-6.173,-0.123,0.334,-0.0025
-6.273,-0.123,0.305,0.0
-6.373,-0.123,0.208,0.005
-6.473,-0.123,0.291,0.0
-6.573,-0.124,0.178,0.0
-6.673,-0.124,0.337,0.0025
-6.773,-0.124,0.199,0.0
-6.873,-0.124,0.283,0.0025
-6.973,-0.124,0.307,0.0025
-7.073,-0.124,0.179,0.0
-7.173,-0.124,0.332,-0.0
-7.273,-0.125,0.176,0.0025
-7.373,-0.125,0.295,0.0025
-7.473,-0.125,0.169,0.0
-7.573,-0.125,0.356,0.0025
-7.673,-0.126,0.158,0.0025
-7.773,-0.126,0.327,0.0
-7.873,-0.126,0.176,0.0
-7.973,-0.127,0.306,0.0
-8.073,-0.127,0.284,-0.0025
-8.173,-0.127,0.208,-0.0025
-8.273,-0.127,0.323,0.0025
-8.373,-0.128,0.283,0.0
-8.473,-0.128,0.213,-0.0025
-8.573,-0.128,0.298,0.0
-8.673,-0.128,0.298,-0.005
-8.773,-0.129,0.204,-0.005
-8.873,-0.129,0.303,0.0
-8.973,-0.129,0.188,-0.0025
-9.073,-0.129,0.291,-0.0025
-9.173,-0.129,0.175,-0.0025
-9.273,-0.129,0.346,-0.005
-9.373,-0.129,0.165,-0.005
-9.473,-0.129,0.327,-0.005
-9.573,-0.129,0.288,-0.005
-9.673,-0.129,0.2,-0.005
-9.773,-0.129,0.321,-0.005
-9.873,-0.129,0.164,-0.0075
-9.973,-0.128,0.341,-0.0075
-10.073,-0.128,0.173,-0.005
-10.173,-0.128,0.305,-0.005
-10.273,-0.127,0.199,-0.005
-10.373,-0.127,0.273,-0.0075
-10.473,-0.126,0.28,-0.01
-10.573,-0.125,0.272,-0.01
-10.673,-0.124,0.204,-0.0075
-10.773,-0.124,0.308,-0.0075
-10.873,-0.123,0.17,-0.01
-10.973,-0.122,0.342,-0.0075
-11.073,-0.12,0.175,-0.0075
-11.173,-0.119,0.299,-0.0125
-11.273,-0.118,0.201,-0.0125
-11.373,-0.116,0.29,-0.005
-11.473,-0.115,0.272,0.0025
-11.573,-0.114,0.324,0.015
-11.673,-0.112,0.167,0.0375
-11.773,-0.111,0.343,0.055
-11.873,-0.111,0.155,0.0675
-11.973,-0.111,0.343,0.0825
-12.073,-0.112,0.172,0.0975
-12.173,-0.114,0.301,0.1126
-12.273,-0.117,0.188,0.1226
-12.373,-0.122,0.294,0.12
-12.473,-0.127,0.191,0.0928
-12.572,-0.134,0.299,0.0426
-12.672,-0.141,0.204,-0.015
-12.772,-0.148,0.275,-0.0802
-12.872,-0.154,0.285,-0.1528
-12.972,-0.159,0.279,-0.2351
-13.072,-0.161,0.232,-0.345
-13.172,-0.16,0.289,-0.5061
-13.272,-0.155,0.299,-0.7364
-13.371,-0.142,0.197,-1.0941
-13.468,-0.119,0.304,-1.6756
-13.56,-0.08,0.281,-2.4266
-13.64,-0.021,0.208,-2.9573
-13.697,0.06,0.324,-2.7324
-13.728,0.155,0.282,-1.8772
-13.742,0.254,0.205,-1.0527
-13.746,0.354,0.308,-0.5363
-13.745,0.454,0.187,-0.23
-13.742,0.554,0.299,-0.0499
-13.74,0.654,0.294,0.0174
-13.737,0.754,0.185,0.0251
-13.734,0.854,0.372,0.0275
